gene	transcript	D01_Ctrl_0h	D01_Lps_1h	D01_Lps_2h	D01_Lps_4h	D01_Lps_6h	D09_Ctrl_0h	D09_Lps_1h	D09_Lps_2h	D09_Lps_4h	D09_Lps_6h
OR6C1	NA	0	0	0	0	0	0	0	0	0	0
CTD-2270F17.1	NA	1	0	0	0	0	0	0	0	0	0
SIRT6	NA	183	195	99	39	132	115	128	77	113	89
CCL19	NA	2	5	4	6	14	7	20	16	36	35
MIR3121	NA	0	0	0	0	0	0	0	0	0	0
PPIL1	NA	155	192	64	24	48	149	181	91	99	77
LOC101927286	NA	0	0	0	0	0	0	0	0	0	0
LOC101060019	NA	0	0	0	0	0	0	0	0	0	0
GBP7	NA	1	0	0	3	1	0	0	2	7	13
STK17A	NA	245	367	280	388	470	179	227	324	720	416
OR9G1	NA	0	0	0	0	0	0	0	0	0	0
LINC01387	NA	0	0	0	0	0	0	0	0	0	0
ABR	NA	5959	7652	3494	2634	7717	4441	5266	4040	5796	5164
PCDHA13	NA	0	0	0	0	0	0	0	0	0	0
FOXE1	NA	0	0	0	0	0	0	0	0	0	0
SIAH3	NA	0	0	0	0	0	1	1	0	0	0
LINC01121	NA	0	0	0	0	0	0	0	0	0	0
GML	NA	0	0	0	0	0	0	0	0	0	0
CNGA3	NA	0	0	0	0	0	0	0	0	0	0
CD38	NA	110	114	85	408	2043	61	75	101	601	954
ZDHHC6	NA	243	297	169	127	300	322	372	362	364	284
NEFH	NA	133	192	83	57	94	110	99	100	106	50
PGBD5	NA	23	49	9	0	0	2	9	1	0	0
CTDSP2	NA	1967	1944	746	422	1381	1169	1107	869	1146	1229
ZNF257	NA	19	13	1	2	9	3	0	0	0	2
RMND5B	NA	150	131	49	19	80	126	108	59	71	94
CCNY	NA	1638	1969	866	376	819	1124	1242	797	826	636
EXOSC7	NA	116	143	52	12	20	82	108	66	53	43
C11orf88	NA	0	0	0	0	0	0	0	0	0	0
ROR2	NA	3	9	1	34	76	6	4	3	32	22
LINC01212	NA	0	0	0	0	0	0	1	0	1	0
MAOA	NA	3310	3559	1874	1300	2769	1725	2145	1806	3383	3626
TNNT3	NA	0	1	0	0	0	0	0	0	0	0
MIR924	NA	0	0	0	0	0	0	0	0	0	0
GYPC	NA	422	445	439	500	1473	147	169	313	649	764
MIR3120	NA	0	0	0	0	0	0	0	0	0	0
LINC01163	NA	0	0	0	0	0	0	0	0	0	0
C7orf33	NA	0	0	0	0	0	0	0	0	1	1
AP4B1-AS1	NA	5	4	0	0	0	4	0	5	3	1
RNF4	NA	1787	1762	755	738	1865	1100	1048	830	1600	1393
EMC1	NA	1276	1516	710	337	679	789	946	723	750	593
F8A1	NA	923	1975	1951	807	1629	572	1109	1563	1122	933
HDAC7	NA	143	130	39	35	94	64	80	50	69	126
PLEKHG4	NA	19	39	24	7	4	17	35	9	7	4
GRB2	NA	4501	5707	2841	2114	5822	3735	4627	3531	3865	4599
LINC00597	NA	0	1	4	4	6	0	1	14	3	1
HIST1H2AD	NA	132	85	42	4	37	93	72	21	48	44
DUS3L	NA	110	170	57	35	73	107	119	83	98	85
EIF1	NA	6981	8615	4845	4553	9188	3261	5834	5234	7476	5491
LOC101928567	NA	0	0	0	0	0	1	0	0	2	1
FPGT	NA	219	206	53	37	114	186	203	71	86	81
CHST15	NA	2011	2162	1191	1610	2806	1453	1717	1604	2818	1218
NLGN1-AS1	NA	0	0	0	0	0	0	0	0	0	0
MIR4442	NA	0	0	0	0	0	0	0	0	0	0
RASA4B	NA	219	184	72	75	177	290	320	294	425	323
GPN2	NA	158	213	95	56	182	135	152	111	163	174
GDF10	NA	0	0	0	0	1	0	0	0	0	0
COQ9	NA	333	346	117	25	92	175	180	96	48	97
TRAPPC9	NA	536	690	350	160	358	406	447	388	304	207
LOC101927178	NA	1	0	0	0	3	3	0	0	2	0
MIR101-2	NA	0	0	0	0	0	0	0	0	0	0
DKFZP434I0714	NA	3	1	4	4	17	5	1	9	2	7
GCC2	NA	1422	1782	741	316	1071	1029	1103	699	460	606
RARRES3	NA	69	45	25	18	28	22	22	28	24	10
PLXNA1	NA	1184	1413	742	902	3015	1263	1516	1722	2545	2597
KIAA0100	NA	10479	12590	5562	2438	3418	7013	8068	5386	4272	2676
PMF1	NA	200	223	116	70	118	141	136	146	153	99
FNDC1	NA	2	4	1	2	4	0	5	5	7	12
HS2ST1	NA	1103	1277	640	317	469	1392	1545	1000	766	420
CRELD2	NA	119	120	54	23	49	91	107	80	94	64
CD82	NA	989	1295	815	873	3045	463	524	894	1671	2329
C8G	NA	0	0	0	0	0	0	0	0	0	0
DOCK9-AS1	NA	0	0	0	0	0	0	0	0	0	0
SPINK14	NA	0	0	0	0	0	0	0	0	0	0
PIRT	NA	0	0	0	0	0	0	0	0	0	0
LOC101927139	NA	0	0	0	0	0	0	0	0	0	0
LIM2	NA	0	0	0	0	0	0	0	0	0	0
MIR193A	NA	0	0	0	0	0	0	0	0	0	0
MMP16	NA	0	0	3	0	0	1	3	0	0	0
MIMT1	NA	0	0	0	0	0	0	0	2	0	0
LOC100133091	NA	10	9	30	8	34	18	10	17	22	21
LOC101928416	NA	0	0	0	0	0	0	0	0	0	0
DRD3	NA	0	0	0	0	0	0	0	0	0	0
PTP4A2	NA	3082	3363	1600	1082	2591	2473	2838	2020	2535	2473
OR4M2	NA	0	0	0	0	0	0	0	0	0	0
C11orf73	NA	182	231	100	56	97	114	110	82	62	54
OGFR-AS1	NA	4	0	0	0	2	0	0	2	0	0
HPCA	NA	0	1	0	0	0	0	1	0	0	0
SEC14L1	NA	1871	1976	751	485	1379	1470	1576	917	1192	1241
METTL25	NA	101	111	23	17	52	58	86	38	38	54
NME8	NA	36	31	14	8	17	11	13	9	7	11
EMILIN1	NA	37	45	17	15	17	84	107	85	72	53
CHFR	NA	684	997	438	248	689	514	710	553	630	592
NDUFS4	NA	349	326	155	85	217	207	295	219	315	224
COL18A1	NA	22	34	18	2	3	12	14	23	18	2
PDZD3	NA	0	0	0	0	0	0	0	0	0	0
MIR591	NA	0	0	0	0	0	0	0	0	0	0
FAXC	NA	0	0	0	0	0	0	0	0	0	0
SF3B6	NA	355	459	169	102	195	183	247	176	197	184
C9orf16	NA	956	1144	560	265	842	733	779	676	771	671
ERBB2IP	NA	2957	3486	1913	2448	4028	2569	3028	2522	4290	3248
FUS	NA	1658	2353	1254	1150	3050	1198	1635	1614	2399	2228
EMX2	NA	0	0	0	0	0	0	0	0	0	0
TF	NA	1	0	0	0	1	0	0	2	0	0
CXorf56	NA	102	115	55	18	51	76	83	45	49	41
CLCN4	NA	48	30	9	6	4	64	78	43	17	8
NPR1	NA	455	666	284	137	297	148	162	104	128	147
ELAC2	NA	677	774	316	130	274	518	555	357	293	364
CELA1	NA	0	0	0	0	0	0	0	0	0	0
LOC101929526	NA	4	0	2	0	0	0	0	3	0	0
ASS1	NA	1	7	0	5	16	3	3	5	6	10
USP42	NA	246	240	104	378	605	189	144	180	809	417
RALY-AS1	NA	4	3	4	0	1	3	4	4	7	6
EMC8	NA	211	219	96	43	169	138	151	92	134	158
SEC23IP	NA	925	1132	509	337	1005	746	952	581	956	943
POLR2J	NA	479	579	276	177	464	312	314	218	335	246
UQCRC1	NA	2297	2692	1318	627	1316	1329	1648	1305	1464	1155
LOC729603	NA	52	34	28	44	115	51	37	79	95	77
ERVV-2	NA	0	0	0	0	0	0	0	0	0	0
POLG	NA	475	556	293	135	468	335	377	339	305	337
ADAM23	NA	5	4	0	4	5	10	14	7	16	3
MIR4641	NA	0	0	0	0	0	0	0	0	0	0
TFR2	NA	3	0	1	1	0	2	3	2	0	3
RICTOR	NA	980	1037	382	1452	3163	754	826	371	2591	1727
RUNDC3A-AS1	NA	0	1	0	0	0	0	3	1	0	1
GRXCR2	NA	0	0	0	0	0	0	1	0	0	0
SNORD105	NA	0	0	0	0	0	0	0	0	0	0
IDO2	NA	0	0	2	1	8	0	0	0	10	9
HLA-J	NA	5	2	2	0	0	143	222	198	252	265
SNAPC1	NA	53	84	35	16	40	56	76	46	104	93
GNA11	NA	284	324	164	58	143	126	152	85	99	108
LOC654342	NA	5	11	5	4	4	7	15	3	11	2
FSIP1	NA	1	3	1	0	0	1	4	0	0	0
CELA3A	NA	0	0	0	0	0	0	0	0	0	0
UPF3A	NA	197	303	152	68	98	238	363	220	185	195
IGSF11	NA	0	0	0	0	0	0	7	2	0	4
LAGE3	NA	76	107	31	30	50	68	74	46	57	42
CHST6	NA	0	0	0	0	0	0	2	0	1	0
LOC101929464	NA	0	0	0	0	0	0	0	0	1	0
USP46-AS1	NA	6	11	2	1	8	8	1	5	20	7
UNC13B	NA	336	374	171	81	272	351	480	365	340	317
MIR550B1	NA	0	0	0	0	0	0	0	0	0	0
TTLL4	NA	558	534	126	93	227	492	373	166	254	249
ZNF687	NA	442	555	181	116	476	287	263	218	237	341
DNAH17-AS1	NA	0	0	0	0	0	0	0	0	1	4
SDC2	NA	6189	7490	3714	2398	7392	5085	5856	3988	5582	5580
METTL21A	NA	339	294	180	132	275	432	455	414	568	410
COX7A2	NA	665	752	280	230	496	437	633	421	638	525
CETN4P	NA	0	0	0	0	0	0	0	0	0	0
MIR4483	NA	0	0	0	0	0	0	0	0	0	0
LINC01298	NA	1	1	0	3	0	1	4	1	0	0
LAMB4	NA	0	0	1	0	0	0	0	0	0	2
LOC283352	NA	0	0	0	0	0	0	0	0	0	0
LOC101927765	NA	0	6	1	0	1	0	1	0	2	3
FAM24A	NA	0	0	0	0	0	0	0	0	0	0
PDP1	NA	381	407	240	224	475	466	400	403	564	483
MIR8083	NA	0	0	0	0	0	0	0	0	0	0
LRRTM3	NA	0	0	0	0	0	0	0	1	1	0
GPHB5	NA	0	0	0	0	0	0	0	0	0	0
AHCYL2	NA	438	503	267	154	246	319	418	252	282	213
OR4C13	NA	0	0	0	0	0	0	0	0	0	0
IZUMO2	NA	0	0	0	0	0	0	0	0	0	0
TRIM64C	NA	0	0	0	0	0	0	0	0	0	0
HABP4	NA	13	20	14	5	24	17	45	26	19	41
TMEM125	NA	0	0	0	0	0	0	0	0	0	0
MIR548AU	NA	0	0	0	0	0	0	0	0	0	0
CNTN2	NA	4	0	0	1	1	2	2	0	0	0
MIR885	NA	0	0	0	0	0	0	0	0	0	0
ASNSD1	NA	277	324	190	82	158	299	304	211	235	218
FUT4	NA	314	469	538	948	1923	228	357	674	1523	1079
BAGE4	NA	0	0	0	0	0	0	0	0	0	0
LINC00675	NA	0	0	0	0	0	0	0	0	0	0
HGH1	NA	218	186	67	10	33	107	115	83	45	72
RP9	NA	47	34	15	5	23	29	23	20	37	28
ARAP1	NA	3207	3998	1754	711	3205	2441	2750	2061	1751	2851
CDH8	NA	0	0	0	0	0	0	0	0	0	0
AGPS	NA	2043	2132	995	493	1078	1799	2083	1194	1151	1068
TARID	NA	0	0	0	0	0	0	0	0	0	0
PP14571	NA	0	0	0	0	0	0	0	0	0	0
CLEC4GP1	NA	0	0	0	0	0	0	0	0	0	1
LOC400541	NA	0	0	0	0	0	1	0	0	0	0
LINC01444	NA	0	0	0	0	0	0	0	0	0	0
LINC00305	NA	0	0	0	0	0	0	0	0	0	0
UNG	NA	111	128	38	25	36	73	85	48	35	39
LOC101929412	NA	0	0	0	0	0	0	0	0	0	0
LOC284344	NA	0	0	0	0	0	0	0	0	0	0
GSTP1	NA	2331	2612	1332	749	1992	1436	1739	1314	1817	1451
DCUN1D5	NA	189	206	103	48	86	121	168	94	111	108
SLC9A3R1	NA	507	559	270	67	123	311	369	280	129	59
PACERR	NA	0	14	4	2	2	0	1	0	0	0
NAMA	NA	0	0	0	0	0	0	0	0	0	0
FAM218A	NA	0	0	0	2	0	0	0	0	0	0
LILRA6	NA	369	277	187	133	402	391	458	514	644	525
CHMP7	NA	287	376	168	71	272	206	213	152	148	200
REM2	NA	14	10	3	0	1	3	2	0	2	0
MIR637	NA	0	0	0	0	0	0	0	0	0	0
DNHD1	NA	70	75	31	12	36	30	52	35	29	27
MIR122	NA	0	0	0	0	0	0	0	0	0	0
FKBP4	NA	695	699	361	122	168	440	536	380	274	157
ZNF350	NA	171	116	47	38	115	131	83	67	118	104
C19orf67	NA	0	0	0	1	0	2	0	2	1	1
BST1	NA	103	163	62	57	108	134	183	165	238	146
KISS1R	NA	0	0	0	0	0	0	0	0	0	0
NCR2	NA	0	0	0	0	0	1	1	0	0	0
MIR3690	NA	0	0	0	0	0	0	0	0	0	0
DEFB125	NA	0	0	0	0	0	0	0	0	0	0
UBE2W	NA	1412	1882	810	412	958	931	1384	661	574	741
OR2T29	NA	0	0	0	0	0	0	0	0	0	0
SNORA78	NA	2	0	0	0	0	1	3	0	0	5
KRT15	NA	0	0	0	0	0	0	0	0	0	0
C10orf99	NA	0	0	0	0	0	0	0	0	0	0
SCN11A	NA	4	17	4	4	12	2	9	1	6	4
GFI1	NA	6	9	2	0	1	7	5	6	0	0
GPR1-AS	NA	0	0	0	0	0	0	0	0	1	0
FHL1	NA	140	96	54	14	24	69	48	41	22	26
SMC6	NA	423	539	219	166	464	372	508	308	413	408
OSGEP	NA	88	98	79	33	34	113	100	100	83	47
GATA1	NA	3	0	0	0	0	0	0	0	0	2
TTTY14	NA	10	10	7	5	8	0	0	0	0	0
LPIN3	NA	9	21	9	4	11	7	2	10	0	1
RPL4	NA	11833	13898	6954	4635	9684	5378	6622	5381	6928	5286
RBPMS	NA	7	3	6	10	25	7	3	4	7	12
PRPF3	NA	234	302	149	367	1009	164	278	278	830	810
EMR1	NA	14	9	5	70	438	8	6	9	292	507
SPATA19	NA	0	0	0	0	0	0	0	0	0	0
XCR1	NA	14	6	0	0	0	6	9	4	0	1
IRX3	NA	0	0	0	0	0	0	0	0	0	0
ELFN1	NA	40	51	14	27	79	11	24	12	25	21
RBM6	NA	531	839	331	109	287	359	544	323	315	289
MIR4698	NA	0	0	0	0	0	0	0	0	0	0
CYSTM1	NA	717	724	402	314	875	591	722	623	957	890
KLF4	NA	2249	2187	910	1195	1207	1393	1575	1221	1684	583
IFITM10	NA	196	347	182	95	314	216	295	285	350	363
MIR5010	NA	0	0	0	0	0	0	0	0	0	0
UNC5CL	NA	1	9	2	0	1	2	5	2	1	0
C16orf71	NA	1	0	0	1	0	1	1	0	1	0
SEBOX	NA	0	0	0	0	0	1	0	0	0	1
BTK	NA	868	1115	498	208	698	598	789	566	416	745
KRCC1	NA	373	334	84	107	290	260	263	82	247	270
SYTL5	NA	1	0	0	0	0	0	0	0	0	0
PRND	NA	0	0	0	0	0	0	0	0	0	0
PIGL	NA	13	10	4	1	9	5	10	10	13	15
MOB1B	NA	1502	1681	919	876	2209	1108	1446	1192	1723	1709
HUS1	NA	233	264	106	142	402	207	254	237	345	238
DNAJC30	NA	112	105	44	8	69	55	58	27	47	61
HID1	NA	0	4	0	0	0	0	0	1	0	0
UIMC1	NA	126	200	84	62	136	108	118	79	111	129
FXYD2	NA	3	4	1	1	19	1	0	9	12	5
C17orf77	NA	0	0	0	0	0	0	1	0	0	0
ZNF667	NA	26	10	4	0	0	22	5	2	0	0
PTGES3L-AARSD1	NA	6	3	3	0	6	0	0	1	0	0
ZCCHC12	NA	0	0	0	0	0	0	0	0	0	0
TFEC	NA	2202	2508	1092	1425	4017	1719	1955	1355	3369	2859
ATP7B	NA	20	14	13	1	1	8	14	13	4	1
C2orf78	NA	0	0	0	0	0	0	0	0	0	0
POLD2	NA	214	258	115	45	114	93	104	108	81	58
ABCC6P1	NA	0	0	0	0	0	0	0	0	0	0
C1orf145	NA	0	2	0	0	1	0	2	0	0	0
ACOT2	NA	466	497	202	55	202	313	356	270	242	188
HIST1H4I	NA	19	29	3	4	13	19	14	16	25	18
ECRP	NA	0	1	0	0	0	0	0	1	0	0
PPARGC1A	NA	2	0	1	0	4	1	4	1	0	0
ETFA	NA	707	810	348	236	482	522	609	484	572	509
ZNF146	NA	956	1001	260	173	419	609	536	256	451	439
POLRMT	NA	355	386	109	17	66	211	197	109	65	101
MIA2	NA	0	0	0	0	0	0	0	0	0	0
WI2-2373I1.2	NA	0	0	0	0	0	0	0	0	0	0
KLHL6	NA	500	826	426	442	1175	614	659	469	641	767
LOC440311	NA	0	1	0	1	0	0	1	1	0	1
ZNF487	NA	8	16	2	2	11	10	13	7	17	7
NENF	NA	317	417	176	114	369	214	305	191	341	294
HOXB5	NA	0	0	0	0	0	0	0	0	0	0
ARGFX	NA	0	0	0	0	3	1	0	1	0	0
PRSS22	NA	3	14	5	5	27	3	2	0	1	4
CASC4	NA	1362	1585	833	483	1059	1127	1362	992	1194	1137
GTSF1	NA	15	21	5	6	7	1	3	6	5	1
CUL4B	NA	718	687	339	174	595	563	685	421	483	520
CENPJ	NA	42	60	29	46	105	48	106	38	58	59
PITX1	NA	1	4	0	0	4	4	7	0	9	9
AKIRIN1	NA	1692	2154	1037	545	1380	857	1363	1034	1123	1247
MIR452	NA	0	0	0	0	0	0	0	0	0	0
CELSR3	NA	34	22	9	2	15	4	6	4	4	1
LOC100132735	NA	1	1	0	0	1	0	0	1	0	4
LCN15	NA	0	0	0	0	0	0	0	0	0	0
DNAJC9	NA	94	81	42	17	31	93	131	91	86	48
ZNF568	NA	69	41	11	6	29	43	16	9	25	18
ITSN1	NA	674	752	317	172	472	356	408	234	283	238
EHBP1L1	NA	1668	2599	1452	953	2359	1210	1819	1897	2129	2409
MT1DP	NA	0	0	0	0	0	0	0	0	0	0
DCTN1	NA	1357	1731	860	544	1245	1148	1314	1202	1321	1186
LIN28B	NA	0	0	0	0	0	0	0	0	0	0
TNKS2	NA	2092	2523	1040	903	2542	1570	1811	1262	1997	2268
TMEM241	NA	121	135	55	26	36	90	82	66	27	27
C1QBP	NA	386	428	214	122	210	239	231	192	252	219
CADPS2	NA	0	0	0	0	0	0	0	0	0	0
